,Name,URL,Nanodegree,Cost
0,Web Tooling & Automation,https://www.udacity.com/course/web-tooling-automation--ud892,None,Free Course
1,None,https://www.udacity.com/course/intro-to-machine-learning--ud120,None,None
2,Real-Time Analytics with Apache Storm,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,None,Free Course
3,None,https://www.udacity.com/course/intro-to-html-and-css--ud001,None,None
4,Get Your Startup Started,https://www.udacity.com/course/get-your-startup-started--ud806,None,Free Course
5,Swift for Beginners,https://www.udacity.com/course/swift-for-beginners--ud1022,None,Free Course
6,None,https://www.udacity.com/course/intro-to-algorithms--cs215,None,None
7,None,https://www.udacity.com/course/activation-and-retention-strategy--nd037-2,None,None
8,None,https://www.udacity.com/course/data-science-for-business-leaders--nd045,None,None
9,Intro to Progressive Web Apps,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,None,Free Course
10,Server-Side Swift,https://www.udacity.com/course/server-side-swift--ud1031,None,Free Course
11,None,https://www.udacity.com/course/java-programming-basics--ud282,None,None
12,Responsive Images,https://www.udacity.com/course/responsive-images--ud882,None,Free Course
13,None,https://www.udacity.com/course/data-science-for-business-leaders--nd045,None,None
14,Data Wrangling with MongoDB,https://www.udacity.com/course/data-wrangling-with-mongodb--ud032,None,Free Course
15,Data Analysis with R,https://www.udacity.com/course/data-analysis-with-r--ud651,None,Free Course
16,Advanced Operating Systems,https://www.udacity.com/course/advanced-operating-systems--ud189,None,Free Course
17,Spark,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,None,Free Course
18,Model Building and Validation,https://www.udacity.com/course/model-building-and-validation--ud919,None,Free Course
19,Mobile Design and Usability for Android,https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358,None,Free Course
20,Linear Algebra Refresher Course,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,None,Free Course
21,None,https://www.udacity.com/course/robotics-software-engineer--nd209,None,None
22,Intro to DevOps,https://www.udacity.com/course/intro-to-devops--ud611,None,Free Course
23,None,https://www.udacity.com/course/intro-to-statistics--st101,None,None
24,Hybrid Cloud Fundamentals,https://www.udacity.com/course/hybrid-cloud-fundamentals--ud0321,None,Free Course
25,High Performance Computing,https://www.udacity.com/course/high-performance-computing--ud281,None,Free Course
26,None,https://www.udacity.com/courses/data-science-for-business-leaders--nd045,None,None
27,Segmentation and Clustering,https://www.udacity.com/course/segmentation-and-clustering--ud981,None,Free Course
28,WeChat Mini Program Development,https://www.udacity.com/course/wechat-mini-programs--ud667,None,Free Course
29,Data Structures & Algorithms in Swift,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,None,Free Course
30,Introduction to Graduate Algorithms,https://www.udacity.com/course/introduction-to-graduate-algorithms--ud401,None,Free Course
31,Interactive 3D Graphics,https://www.udacity.com/course/interactive-3d-graphics--cs291,None,Free Course
32,JavaScript Design Patterns,https://www.udacity.com/course/javascript-design-patterns--ud989,None,Free Course
33,A/B Testing,https://www.udacity.com/course/ab-testing--ud257,None,Free Course
34,Intro to TensorFlow for Deep Learning,https://www.udacity.com/course/intro-to-tensorflow-for-deep-learning--ud187,None,Free Course
35,Intro to Point & Click App Development,https://www.udacity.com/course/intro-to-point-click-app-development--ud162,None,Free Course
36,None,https://www.udacity.com/courses/learn-sql--nd072,None,None
37,Software Analysis & Testing,https://www.udacity.com/course/software-analysis-testing--ud333,None,Free Course
38,Craft Your Cover Letter,https://www.udacity.com/course/craft-your-cover-letter--ud244,None,Free Course
39,Android Basics: Networking,https://www.udacity.com/course/android-basics-networking--ud843,None,Free Course
40,AutoLayout,https://www.udacity.com/course/auto-layout--ud1026,None,Free Course
41,Artificial Intelligence,https://www.udacity.com/course/artificial-intelligence--ud954,None,Free Course
42,Intro to jQuery,https://www.udacity.com/course/intro-to-jquery--ud245,None,Free Course
